iter	Logloss
0	0.6417981876
1	0.601910743
2	0.5727488212
3	0.5481787562
4	0.5298320865
5	0.5146723359
6	0.502408183
7	0.4924913548
8	0.4855216426
9	0.480195087
10	0.4751044855
11	0.4715599317
12	0.4679232016
13	0.4650164315
14	0.4621975406
15	0.4598492969
16	0.4576971435
17	0.4559521942
18	0.4546237401
19	0.4539850154
20	0.4530337575
21	0.4521355105
22	0.4511240676
23	0.4504341016
24	0.4494340108
25	0.4489614382
26	0.4484156184
27	0.4477197581
28	0.4472818123
29	0.446781279
30	0.4464163932
31	0.4462169458
32	0.4457511988
33	0.4455274601
34	0.4453436813
35	0.4451287775
36	0.444996947
37	0.444633905
38	0.4443509743
39	0.4440981427
40	0.4439322349
41	0.4438231155
42	0.4435633669
43	0.4433556941
44	0.4431565641
45	0.4430141485
46	0.4427645079
47	0.4426218621
48	0.442528569
49	0.4424072029
50	0.442213519
51	0.442091294
52	0.4419465457
53	0.441919129
54	0.4418126072
55	0.4417530322
56	0.4416562882
57	0.4415956179
58	0.4415109124
59	0.441435197
60	0.4413668162
61	0.4413010209
62	0.4412433076
63	0.4410489535
64	0.4407981257
65	0.4406055098
66	0.4404822415
67	0.4403921059
68	0.4403546129
69	0.4402922392
70	0.4402233318
71	0.4400344218
72	0.4399905391
73	0.4399129335
74	0.4398404114
75	0.439677582
76	0.4396605357
77	0.4396202682
78	0.4395566933
79	0.4395304391
80	0.4394847627
81	0.4394023467
82	0.4393836633
83	0.4392960102
84	0.4392456973
85	0.4392130094
86	0.4391780458
87	0.4391341851
88	0.4390997844
89	0.4390783359
90	0.4390120155
91	0.438997969
92	0.4389613346
93	0.4388582708
94	0.4388383878
95	0.4388213293
96	0.4387407888
97	0.4386941154
98	0.4386480513
99	0.4386297139
100	0.438582126
101	0.4385538956
102	0.4385150027
103	0.4384818456
104	0.438457108
105	0.4384359515
106	0.4384009057
107	0.438384488
108	0.4383536449
109	0.4383300282
110	0.4382620061
111	0.4382408622
112	0.4381986849
113	0.4381584571
114	0.4381254935
115	0.4381040093
116	0.4380884401
117	0.4380564887
118	0.4380226804
119	0.437957711
120	0.4378857598
121	0.4378505967
122	0.4378322217
123	0.4378086838
124	0.437779861
125	0.4377525393
126	0.4377310951
127	0.4377111329
128	0.4376865437
129	0.4376623892
130	0.4376447387
131	0.4376186276
132	0.4375927554
133	0.4375751674
134	0.437548949
135	0.4375205288
136	0.4374995551
137	0.437460131
138	0.4374418282
139	0.4374056458
140	0.4373805497
141	0.4373327158
142	0.4372999485
143	0.4372546584
144	0.4372199219
145	0.4371958909
146	0.4371703468
147	0.4371272318
148	0.4371068061
149	0.4370716822
150	0.4370386051
151	0.437023008
152	0.4369973518
153	0.4369797116
154	0.4369528657
155	0.4369322627
156	0.4369134776
157	0.4368976056
158	0.4368795068
159	0.4368639957
160	0.4368313723
161	0.436807149
162	0.4367879331
163	0.4367701383
164	0.4367549226
165	0.4367303129
166	0.4367076913
167	0.4366846703
168	0.4366660792
169	0.4366528018
170	0.4366339183
171	0.4366056987
172	0.4365826612
173	0.4365579366
174	0.4365455676
175	0.4365249587
176	0.436505577
177	0.4364901191
178	0.4364741407
179	0.4364515541
180	0.4364382132
181	0.4364239162
182	0.4364025249
183	0.4363766829
184	0.4363599123
185	0.4363425499
186	0.4363262717
187	0.4363030464
188	0.436288163
189	0.4362717583
190	0.4362604861
191	0.4362393135
192	0.4362098301
193	0.4361867106
194	0.4361680131
195	0.4361524691
196	0.4361228015
197	0.4360990568
198	0.4360866653
199	0.4360724738
200	0.4360439793
201	0.4360261794
202	0.4360158591
203	0.4360040037
204	0.4359877436
205	0.4359694941
206	0.4359454296
207	0.4359248595
208	0.4358981004
209	0.4358877976
210	0.4358639078
211	0.4358386245
212	0.4358214443
213	0.4358027667
214	0.4357816498
215	0.4357657536
216	0.4357470463
217	0.4357283943
218	0.4357086957
219	0.4356921494
220	0.435676316
221	0.4356579023
222	0.4356428708
223	0.4356310211
224	0.4356180375
225	0.4356040231
226	0.4355882324
227	0.4355716099
228	0.4355542621
229	0.4355409441
230	0.4355304511
231	0.435516004
232	0.4354972144
233	0.4354851282
234	0.4354579091
235	0.4354451164
236	0.4354377221
237	0.4354173479
238	0.4354006049
239	0.4353826054
240	0.4353652319
241	0.4353458889
242	0.4353004693
243	0.4352815265
244	0.4352623686
245	0.4352538144
246	0.4352460414
247	0.4352351518
248	0.4352228268
249	0.435199989
250	0.4351808157
251	0.4351641496
252	0.4351502726
253	0.4351337851
254	0.4351208454
255	0.4351075447
256	0.4350792255
257	0.4350630062
258	0.4350534244
259	0.4350180773
260	0.4350056534
261	0.4349903226
262	0.434973205
263	0.4349628377
264	0.4349542397
265	0.4349441284
266	0.4349182908
267	0.4349052408
268	0.4348930002
269	0.4348749683
270	0.4348571236
271	0.4348459213
272	0.434830318
273	0.4348187489
274	0.4348021254
275	0.4347876562
276	0.434773716
277	0.4347639839
278	0.4347437132
279	0.4347287907
280	0.4347112829
281	0.4346986323
282	0.43468632
283	0.434678209
284	0.4346554575
285	0.4346413357
286	0.4346317036
287	0.434615174
288	0.4346025876
289	0.4345968708
290	0.4345783674
291	0.4345498257
292	0.4345332164
293	0.4345253071
294	0.434509139
295	0.4344982494
296	0.4344867956
297	0.4344727969
298	0.4344648755
299	0.4344492669
300	0.434437339
301	0.4344219153
302	0.4344099864
303	0.4343915808
304	0.4343692293
305	0.434358981
306	0.4343489451
307	0.434341076
308	0.4343286581
309	0.4343154158
310	0.4343013105
311	0.4342876538
312	0.434276834
313	0.4342593075
314	0.434240872
315	0.4342302486
316	0.4342218048
317	0.4342022231
318	0.4341866434
319	0.43417558
320	0.4341623553
321	0.4341398596
322	0.434125869
323	0.4341175801
324	0.434093558
325	0.4340830675
326	0.4340760359
327	0.4340665335
328	0.4340508749
329	0.4340356031
330	0.4340243841
331	0.4340141404
332	0.4340003273
333	0.433990968
334	0.4339876999
335	0.4339792792
336	0.4339608508
337	0.4339458392
338	0.4339294013
339	0.4339149458
340	0.4339008662
341	0.4338896617
342	0.4338799872
343	0.4338636442
344	0.4338567182
345	0.4338443965
346	0.4338355134
347	0.4338256439
348	0.4338143623
349	0.4338033643
350	0.433793216
351	0.4337850188
352	0.4337776586
353	0.4337650591
354	0.4337608963
355	0.4337527273
356	0.43374071
357	0.4337262898
358	0.4337154823
359	0.4336961158
360	0.4336841728
361	0.4336720531
362	0.4336648265
363	0.4336525969
364	0.4336447133
365	0.4336340537
366	0.4336213437
367	0.433611198
368	0.4336015186
369	0.433584839
370	0.4335698305
371	0.4335597909
372	0.4335459787
373	0.433541459
374	0.4335336296
375	0.4335213873
376	0.4335082552
